name,short_description,genres,release_date,developer,publisher,overall_player_rating,release_year,overall_player_rating_normalized
DREDGE,"dredge is a single-player fishing adventure with a sinister undercurrent. sell your catch, upgrade your boat, and dredge the depths for long-buried secrets. explore a mysterious archipelago and discover why some things are best left forgotten.","['exploration', 'fishing', 'lovecraftian', 'open world', 'adventure', 'mystery', 'inventory management', 'atmospheric', 'rpg', 'simulation', 'psychological horror', 'singleplayer', 'horror', 'stylized', 'survival horror', 'psychological', 'story rich', 'sailing', '3d', 'indie']",2023-03-30,['Black Salt Games'],['Team17'],5.0,2023.0,1.0
Crime Scene Cleaner,"once you get tangled with the mob, you will forever be a part of the mob. at least they pay a decent salary and all you have to do is clean up after their dirty work, but you know what you’re doing. so clean crime scenes, earn as much money as you can, and get ready for the next mission.","['crime', 'simulation', 'gore', 'singleplayer', 'first-person', 'mature', 'action', 'adventure', 'atmospheric', 'funny', 'realistic', 'exploration', 'stealth', 'indie', 'life sim', 'walking simulator', 'hacking', 'heist', 'great soundtrack', 'violent']",2024-08-14,['President Studio'],"['President Studio', 'PlayWay S.A.']",5.0,2024.0,1.0
Subnautica,"descend into the depths of an alien underwater world filled with wonder and peril. craft equipment, pilot submarines and out-smart wildlife to explore lush coral reefs, volcanoes, cave systems, and more - all while trying to survive.","['open world survival craft', 'survival', 'horror', 'open world', 'underwater', 'exploration', 'crafting', 'base building', 'singleplayer', 'adventure', 'first-person', 'sci-fi', 'sandbox', 'atmospheric', 'aliens', 'multiplayer', 'survival horror', 'indie', 'vr', 'action']",2018-01-23,['Unknown Worlds Entertainment'],['Unknown Worlds Entertainment'],5.0,2018.0,1.0
Crusader Kings III,"love, fight, scheme, and claim greatness. determine your noble house’s legacy in the sprawling grand strategy of crusader kings iii. death is only the beginning as you guide your dynasty’s bloodline in the rich and larger-than-life simulation of the middle ages.","['strategy', 'medieval', 'grand strategy', 'simulation', 'rpg', 'historical', 'management', 'character customization', 'rts', 'life sim', 'sandbox', 'choices matter', 'war', 'singleplayer', 'economy', '4x', 'political', 'moddable', 'multiplayer', 'real-time with pause']",2020-09-01,['Paradox Development Studio'],['Paradox Interactive'],4.0,2020.0,0.8
Persona 5 Royal,"don the mask and join the phantom thieves of hearts as they stage grand heists, infiltrate the minds of the corrupt, and make them change their ways!","['jrpg', 'story rich', 'great soundtrack', 'turn-based combat', 'anime', 'rpg', 'singleplayer', 'party-based rpg', 'dating sim', 'multiple endings', 'turn-based strategy', 'emotional', 'visual novel', 'colorful', 'sexual content', 'adventure', 'heist', 'soundtrack', 'detective', 'violent']",2022-10-20,['ATLUS'],['SEGA'],5.0,2022.0,1.0
Dale & Dawson Stationery Supplies,"in ""dale & dawson stationery supplies,"" play as a manager, specialist, or slacker in an office setting. slackers blend in, mimicking specialists to avoid the manager's suspicion. uncover or cause deception to win.","['casual', '3d', 'rpg', 'social deduction', 'first-person', 'multiplayer', 'comedy', 'party-based rpg', 'tactical rpg', 'third person', '""1990s""', 'strategy', 'character customization', 'online co-op', 'co-op', 'politics', 'pvp', 'sexual content']",2024-08-30,['Striped Panda Studios'],['Striped Panda Studios'],4.0,2024.0,0.8
Path of Exile,"you are an exile, struggling to survive on the dark continent of wraeclast, as you fight to earn power that will allow you to exact your revenge against those who wronged you. path of exile is an online action rpg set in a dark fantasy world. the game is completely free and will never be pay-to-win.","['free to play', 'dark fantasy', 'action rpg', 'hack and slash', 'loot', 'mmorpg', 'multiplayer', 'dungeon crawler', 'isometric', 'character customization', 'rpg', 'inventory management', 'singleplayer', 'online co-op', 'action', 'pvp', 'horror', 'massively multiplayer', 'fantasy', 'adventure']",2013-10-23,['Grinding Gear Games'],['Grinding Gear Games'],4.0,2013.0,0.8
Stardew Valley,"you've inherited your grandfather's old farm plot in stardew valley. armed with hand-me-down tools and a few coins, you set out to begin your new life. can you learn to live off the land and turn these overgrown fields into a thriving home?","['farming sim', 'pixel graphics', 'life sim', 'multiplayer', 'rpg', 'relaxing', 'agriculture', 'simulation', 'crafting', 'sandbox', 'indie', 'building', 'singleplayer', 'casual', 'open world', '2d', 'cute', 'dating sim', 'great soundtrack', 'fishing']",2016-02-26,['ConcernedApe'],['ConcernedApe'],5.0,2016.0,1.0
STAR WARS™: The Old Republic™,"star wars™: the old republic™ is a free-to-play mmorpg that puts you at the center of your own story-driven saga. play as a jedi, sith, bounty hunter, or one of many other iconic star wars roles in the galaxy far, far away over three thousand years before the classic films.","['free to play', 'mmorpg', 'multiplayer', 'character customization', 'open world', 'rpg', 'story rich', 'choices matter', 'massively multiplayer', 'sci-fi', 'adventure', 'space', 'action', 'third person', 'pvp', 'atmospheric', 'action rpg', 'party-based rpg', 'great soundtrack', 'crpg']",2011-12-20,['Broadsword'],['Electronic Arts'],4.0,2011.0,0.8
Fallout 76,"bethesda game studios welcome you to fallout 76. twenty-five years after the bombs fall, you and your fellow vault dwellers emerge into post-nuclear america. explore a vast wasteland in this open-world multiplayer addition to the fallout story.","['open world', 'dark comedy', 'multiplayer', 'post-apocalyptic', 'rpg', 'capitalism', 'survival', 'base building', 'co-op', 'shooter', 'horror', 'mmorpg', 'exploration', 'fps', 'gore', 'singleplayer', 'violent', 'atmospheric', 'early access', 'great soundtrack']",2020-04-14,['Bethesda Game Studios'],['Bethesda Softworks'],3.0,2020.0,0.6000000000000001
